TOPIC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
query languages,0,0,3,2,0,0,1,1,1,0,0,1,0,2,4,4,4,6,4,2,4,4,4,5,4,6,8,7,9,20,14,10,21,13,17,14,7,9,14
recommender system,0,0,2,0,0,0,1,0,0,0,0,2,0,2,1,5,2,2,3,6,6,7,8,6,8,6,10,4,7,15,15,15,17,11,15,13,13,7,16
internet protocol,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,4,10,4,3,6,8,12,11,6,6,7,10,8,15,13,11,7,24,21,23
portable equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,4,6,5,4,8,9,12,18,10,15,16,16,11,14,12,18,8,16
access control,0,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,0,2,1,1,6,7,6,6,4,12,10,15,12,11,10,20,15,17,21,22
intelligent control,0,0,27,5,0,2,2,2,1,3,3,2,3,3,6,4,9,4,5,3,4,3,5,5,2,9,4,3,6,7,10,15,5,10,6,7,7,11,5
facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,7,12,21,20,16,17,16,27,23,24,20
systems design,0,0,27,5,0,2,2,2,1,3,3,2,3,3,6,4,9,4,5,3,4,3,5,5,2,9,4,3,6,7,10,15,5,10,6,6,7,11,5
routing,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,0,2,2,3,6,5,5,14,11,7,6,12,10,7,13,14,15,11,18,12,24
distributed system,0,0,6,1,0,2,1,6,4,2,1,2,2,3,1,2,3,6,2,2,5,2,7,3,3,2,15,6,2,7,8,18,8,7,6,11,13,12,21
electronic mail,0,0,3,2,0,1,1,2,0,1,0,0,1,0,0,0,2,1,2,4,6,9,4,7,13,12,13,8,8,9,7,16,6,5,10,10,11,9,14
web2.0,0,0,2,0,0,0,1,1,1,0,0,0,0,2,3,3,3,2,3,2,1,2,0,0,4,3,11,15,12,19,29,19,12,10,11,5,10,6,2
web application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,5,9,9,5,9,6,9,6,7,7,7,11,10,14,12,8,6,12,12,6
virtual world,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,5,4,5,10,5,2,4,5,3,3,5,7,6,17,14,9,4,6,11,12,27,21
heuristic evaluation,0,0,0,2,0,0,0,0,0,0,1,2,12,8,8,8,9,10,3,3,8,8,10,8,10,6,14,11,9,5,2,9,5,2,3,3,8,3,1
image quality,0,0,2,1,0,1,0,6,2,2,1,0,2,2,1,1,2,4,3,5,7,6,7,7,8,8,6,6,5,11,8,6,10,11,10,10,9,10,11
hand held computers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,7,10,6,14,6,9,6,5,7,12,15,14,13,17,10,12,6,13
wireless,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,6,14,11,11,6,14,12,10,10,11,9,7,8,10,3,8,10,8,6
parallel processing systems,0,0,6,1,0,2,1,6,4,2,1,2,2,3,1,1,3,5,2,2,4,2,6,3,2,1,15,6,1,6,8,16,8,7,6,11,12,11,18
intelligent robots,0,0,2,0,0,0,0,0,0,0,1,0,4,1,1,3,2,0,1,1,1,2,4,0,14,4,3,3,7,13,14,5,7,14,13,13,13,20,21
router,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,2,2,0,1,1,2,4,7,5,14,8,8,5,11,12,5,15,15,9,9,16,11,18
autonomous agent,0,0,3,1,0,1,1,3,4,2,2,2,1,5,3,1,2,8,4,6,2,4,3,2,4,4,4,8,5,4,7,5,4,13,10,8,12,17,20
learning outcome,0,0,0,0,0,0,1,0,0,0,1,1,5,0,4,2,1,6,6,5,4,3,3,2,4,4,4,8,7,5,6,9,11,5,14,10,16,17,21
web usability,0,0,0,0,0,1,1,1,0,0,0,0,2,4,3,2,5,11,5,8,14,7,13,11,10,5,13,12,10,5,7,6,5,3,4,4,8,1,0
engineering design,0,0,1,3,0,2,0,2,0,0,0,2,2,1,1,2,0,5,2,3,3,1,1,3,6,7,7,6,7,8,6,12,13,8,6,16,20,13,10
social computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,0,5,0,7,5,7,8,6,6,14,13,21,12,8,7,12,10,12,14
software quality,0,0,7,4,0,2,4,1,1,1,2,1,2,2,1,0,2,2,1,1,4,1,2,5,5,7,4,3,3,6,10,10,9,9,8,10,16,12,17
network security,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,2,1,4,3,5,8,10,10,10,10,9,11,16,9,17,22,16
logic programming,0,0,5,2,0,2,1,4,4,4,2,2,2,5,3,0,1,4,3,5,1,4,0,2,5,4,5,7,4,4,5,7,3,13,8,8,12,18,14
user-centered,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,0,4,4,2,6,3,8,14,14,9,6,6,9,12,8,8,14,5,16,7,9
engineering design process,0,0,0,2,0,2,0,2,0,0,0,2,2,1,1,2,0,5,2,3,3,1,1,3,6,7,6,5,7,8,6,12,13,8,6,15,19,11,10
tangible user interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,4,6,5,8,11,6,7,13,10,9,17,16,5,8,9,10,4,14
human factor,0,0,17,8,0,7,4,2,2,3,5,1,10,4,3,4,1,3,0,2,3,2,0,2,8,5,3,4,4,2,2,4,3,7,5,5,15,8,7
information dissemination,0,0,1,0,0,1,2,0,0,0,0,0,2,2,1,1,2,0,1,1,2,1,4,4,2,5,6,4,11,13,16,13,7,7,8,8,13,15,9
online community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,3,4,6,11,5,7,11,12,12,14,7,10,7,9,17,13
text entry,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,1,2,4,2,8,12,5,9,5,10,7,8,7,11,10,13,6,12,14,9
